DZAGAS, 2012, malopolska, gniada, Szkrab, Dzaga, Grey,
SOFIX, 1992, szlachetna polkrew, gniada, Fanimo, Sangara, Genius,
H-ELDORADO, 2011, oldenburska, siwa, Ekwador, Delicja, De Niro,
EFEZ, 1997, szlachetna polkrew, ciemnogniada, Czuwaj, Eneida, Fanimo,
APERITIF, 2006, malopolska, siwa, Fusain du Defey, Auforta, First des Termes,
BARNABA, 1995, malopolska, gniada, Bolivar, Bawarka, Judex,
BISKWIT, 1991, szlachetna polkrew, ciemnogniada, Colorado, Brenda, Arlet,
CYPRYS, 1991, wielkopolska, gniada, Dido, Cisa II, Cherson,
CZUWAJ, 1992, szlachetna polkrew, gniada, Windwurf, Czubata, Feiertraum,
OTILL, 2001, szlachetna polkrew, ciemnokasztanowata, Luron, Otila, Mag,
ELF, 1992, szlachetna polkrew, ciemnogniada, Fanimo, Eglin, Genius,
GAFAL, 1998, czysta krew arabska, kasztanowata, Pamir, Gratka, Arbil,
NABUCHODONOSOR, 1994, szlachetna polkrew, ciemnogniada, Narcos II, Klika, Amyndas,
ODYSEJ, 1992, szlachetna polkrew, ciemnogniada, Windwurf, Odyseja, Dido,
EPOS, 1999, szlachetna polkrew, ciemnogniada, Le Voltaire, Eneida, Fanimo,
PARNAS, 1992, szlachetna polkrew, kasztanowata, Elvis, Przyzba, Prom,
RUMIANEK, 1998, wielkopolska, skarogniada, Orkisz, Rumia, Ajax,
ALAMOS, 1991, wielkopolska, ciemnogniada, Colorado, Askania, Sztorm,
BOSSIER, 2004, malopolska, kara, Ajbek, Bossa, Ajax,
